date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,4301913.99,2796244.1,1505669.9,860382.8,645287.1,141963.16,503323.94,6452870.99,2796244.1,5592488.19,9249115.09,0.0,50000,100000,453323.94,30.0,base,Baseline scenario - Current trajectory with no changes
2025-12-01,4298077.66,2793750.48,1504327.18,903401.94,600925.24,132203.55,468721.69,6447116.49,2793750.48,5587500.96,9240866.97,-8248.12,50000,100000,426969.81,30.0,base,Baseline scenario - Current trajectory with no changes
2026-01-01,4295747.52,2792235.89,1503511.63,948572.04,554939.59,122086.71,432852.88,6443621.27,2792235.89,5584471.77,9235857.16,-5009.81,50000,100000,387862.69,30.0,base,Baseline scenario - Current trajectory with no changes
2026-02-01,4308341.4,2800421.91,1507919.49,996000.64,511918.85,112622.15,399296.7,6462512.09,2800421.91,5600843.82,9262934.0,27076.84,50000,100000,322219.86,30.0,base,Baseline scenario - Current trajectory with no changes
2026-03-01,4372655.64,2842226.17,1530429.47,1045800.67,484628.8,106618.34,378010.47,6558983.46,2842226.17,5684452.33,9401209.63,138275.62,50000,100000,189734.84,30.0,base,Baseline scenario - Current trajectory with no changes
2026-04-01,4439425.54,2885626.6,1553798.94,1098090.7,455708.23,100255.81,355452.42,6659138.31,2885626.6,5771253.2,9544764.9,143555.28,50000,100000,161897.15,30.0,base,Baseline scenario - Current trajectory with no changes
2026-05-01,4491886.85,2919726.45,1572160.4,1152995.24,419165.16,92216.34,326948.82,6737830.28,2919726.45,5839452.91,9657556.73,112791.82,50000,100000,164157.0,30.0,base,Baseline scenario - Current trajectory with no changes
2026-06-01,4493569.25,2920820.01,1572749.24,1210645.0,362104.24,79662.93,282441.31,6740353.87,2920820.01,5841640.02,9661173.89,3617.16,50000,100000,228824.15,30.0,base,Baseline scenario - Current trajectory with no changes
2026-07-01,4494493.57,2921420.82,1573072.75,1271177.25,301895.5,66417.01,235478.49,6741740.36,2921420.82,5842841.65,9663161.18,1987.3,50000,100000,183491.19,30.0,base,Baseline scenario - Current trajectory with no changes
2026-08-01,4496194.67,2922526.54,1573668.14,1334736.11,238932.02,52565.04,186366.98,6744292.01,2922526.54,5845053.07,9666818.54,3657.36,50000,100000,132709.62,30.0,base,Baseline scenario - Current trajectory with no changes
2026-09-01,4498726.24,2924172.06,1574554.18,1401472.92,173081.27,38077.88,135003.39,6748089.36,2924172.06,5848344.11,9672261.42,5442.88,50000,100000,79560.51,30.0,base,Baseline scenario - Current trajectory with no changes
2026-10-01,4500073.11,2925047.52,1575025.59,1471546.56,103479.02,22765.39,80713.64,6750109.66,2925047.52,5850095.04,9675157.18,2895.76,50000,100000,27817.88,30.0,base,Baseline scenario - Current trajectory with no changes
