date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,4947201.09,3215680.71,1731520.38,949862.61,781657.77,171964.71,609693.06,7420801.64,3215680.71,6431361.42,10636482.35,0.0,50000,100000,559693.06,28.5,best,Best case - Strong growth with favorable FX and cost management
2025-12-01,4942789.31,3212813.05,1729976.26,997355.74,732620.52,161176.51,571444.0,7414183.96,3212813.05,6425626.1,10626997.01,-9485.34,50000,100000,530929.34,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-01-01,4940109.64,3211071.27,1729038.38,1047223.53,681814.85,149999.27,531815.58,7410164.47,3211071.27,6422142.54,10621235.73,-5761.28,50000,100000,487576.86,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-02-01,4954592.61,3220485.19,1734107.41,1099584.7,634522.71,139595.0,494927.71,7431888.91,3220485.19,6440970.39,10652374.1,31138.37,50000,100000,413789.34,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-03-01,5028553.99,3268560.09,1759993.9,1154563.94,605429.96,133194.59,472235.37,7542830.98,3268560.09,6537120.18,10811391.07,159016.97,50000,100000,263218.4,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-04-01,5105339.37,3318470.59,1786868.78,1212292.14,574576.64,126406.86,448169.78,7658009.05,3318470.59,6636941.18,10976479.64,165088.57,50000,100000,233081.21,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-05-01,5165669.88,3357685.42,1807984.46,1272906.74,535077.71,117717.1,417360.62,7748504.82,3357685.42,6715370.84,11106190.24,129710.6,50000,100000,237650.02,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-06-01,5167604.64,3358943.01,1808661.62,1336552.08,472109.54,103864.1,368245.44,7751406.96,3358943.01,6717886.03,11110349.97,4159.73,50000,100000,314085.71,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-07-01,5168667.61,3359633.95,1809033.66,1403379.68,405653.98,89243.88,316410.1,7753001.41,3359633.95,6719267.89,11112635.36,2285.39,50000,100000,264124.71,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-08-01,5170623.87,3360905.52,1809718.36,1473548.67,336169.69,73957.33,262212.36,7755935.81,3360905.52,6721811.03,11116841.33,4205.96,50000,100000,208006.39,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-09-01,5173535.18,3362797.87,1810737.31,1547226.1,263511.21,57972.47,205538.74,7760302.77,3362797.87,6725595.73,11123100.63,6259.31,50000,100000,149279.44,28.5,best,Best case - Strong growth with favorable FX and cost management
2026-10-01,5175084.07,3363804.65,1811279.42,1624587.41,186692.02,41072.24,145619.77,7762626.11,3363804.65,6727609.29,11126430.75,3330.12,50000,100000,92289.65,28.5,best,Best case - Strong growth with favorable FX and cost management
