date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,4215875.71,2740319.21,1475556.5,775721.13,699835.37,153963.78,545871.59,6323813.57,2740319.21,5480638.43,9064132.79,0.0,50000,100000,495871.59,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2025-12-01,4212116.11,2737875.47,1474240.64,814507.19,659733.45,145141.36,514592.09,6318174.16,2737875.47,5475750.94,9056049.63,-8083.16,50000,100000,472675.25,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-01-01,4209832.57,2736391.17,1473441.4,855232.55,618208.85,136005.95,482202.9,6314748.85,2736391.17,5472782.34,9051140.02,-4909.61,50000,100000,437112.51,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-02-01,4222174.57,2744413.47,1477761.1,897994.17,579766.92,127548.72,452218.2,6333261.85,2744413.47,5488826.94,9077675.32,26535.31,50000,100000,375682.9,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-03-01,4285202.53,2785381.64,1499820.88,942893.88,556927.0,122523.94,434403.06,6427803.79,2785381.64,5570763.29,9213185.43,135510.11,50000,100000,248892.95,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-04-01,4350637.03,2827914.07,1522722.96,990038.58,532684.38,117190.56,415493.82,6525955.54,2827914.07,5655828.13,9353869.61,140684.17,50000,100000,224809.64,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-05-01,4402049.11,2861331.92,1540717.19,1039540.51,501176.68,110258.87,390917.81,6603073.67,2861331.92,5722663.85,9464405.59,110535.99,50000,100000,230381.83,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-06-01,4403697.86,2862403.61,1541294.25,1091517.53,449776.72,98950.88,350825.84,6605546.8,2862403.61,5724807.22,9467950.41,3544.82,50000,100000,297281.03,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-07-01,4404603.7,2862992.41,1541611.3,1146093.41,395517.89,87013.94,308503.95,6606905.55,2862992.41,5725984.81,9469897.96,1947.55,50000,100000,256556.4,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-08-01,4406270.78,2864076.01,1542194.77,1203398.08,338796.69,74535.27,264261.42,6609406.17,2864076.01,5728152.01,9473482.17,3584.21,50000,100000,210677.21,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-09-01,4408751.72,2865688.62,1543063.1,1263567.98,279495.12,61488.93,218006.19,6613127.58,2865688.62,5731377.23,9478816.19,5334.02,50000,100000,162672.17,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
2026-10-01,4410071.64,2866546.57,1543525.08,1326746.38,216778.69,47691.31,169087.38,6615107.46,2866546.57,5733093.14,9481654.03,2837.84,50000,100000,116249.54,30.0,cost_cut,Cost optimization - Efficiency improvements and OpEx reduction
