date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,4646067.11,3019943.62,1626123.49,910629.15,715494.34,157408.75,558085.58,6969100.67,3019943.62,6039887.25,9989044.3,0.0,50000,100000,508085.58,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2025-12-01,4641923.87,3017250.52,1624673.35,956160.61,668512.74,147072.8,521439.94,6962885.81,3017250.52,6034501.03,9980136.32,-8907.97,50000,100000,480347.91,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-01-01,4639407.32,3015614.76,1623792.56,1003968.64,619823.92,136361.26,483462.66,6959110.98,3015614.76,6031229.51,9974725.73,-5410.59,50000,100000,438873.25,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-02-01,4653008.71,3024455.66,1628553.05,1054167.07,574385.97,126364.91,448021.06,6979513.06,3024455.66,6048911.32,10003968.72,29242.99,50000,100000,368778.07,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-03-01,4722468.09,3069604.26,1652863.83,1106875.43,545988.4,120117.45,425870.95,7083702.14,3069604.26,6139208.52,10153306.4,149337.67,50000,100000,226533.28,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-04-01,4794579.58,3116476.73,1678102.85,1162219.2,515883.65,113494.4,402389.25,7191869.37,3116476.73,6232953.45,10308346.1,155039.7,50000,100000,197349.55,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-05-01,4851237.8,3153304.57,1697933.23,1220330.16,477603.07,105072.68,372530.39,7276856.7,3153304.57,6306609.14,10430161.27,121815.17,50000,100000,200715.22,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-06-01,4853054.79,3154485.61,1698569.18,1281346.67,417222.51,91788.95,325433.56,7279582.18,3154485.61,6308971.23,10434067.8,3906.53,50000,100000,271527.03,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-07-01,4854053.06,3155134.49,1698918.57,1345414.0,353504.57,77771.01,275733.56,7281079.59,3155134.49,6310268.98,10436214.08,2146.28,50000,100000,223587.28,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-08-01,4855890.25,3156328.66,1699561.59,1412684.7,286876.88,63112.91,223763.97,7283835.37,3156328.66,6312657.32,10440164.03,3949.95,50000,100000,169814.02,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-09-01,4858624.34,3158105.82,1700518.52,1483318.94,217199.58,47783.91,169415.67,7287936.51,3158105.82,6316211.64,10446042.33,5878.31,50000,100000,113537.37,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
2026-10-01,4860078.95,3159051.32,1701027.63,1557484.88,143542.75,31579.41,111963.35,7290118.43,3159051.32,6318102.64,10449169.75,3127.42,50000,100000,58835.93,30.6,moderate_growth,Moderate growth - Steady expansion with minor FX pressure
