date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,5377392.49,3495305.12,1882087.37,1010949.79,871137.58,191650.27,679487.32,8066088.74,3495305.12,6990610.24,11561393.86,0.0,50000,100000,629487.32,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2025-12-01,5372597.07,3492188.1,1880408.98,1061497.28,818911.7,180160.57,638751.12,8058895.61,3492188.1,6984376.2,11551083.71,-10310.15,50000,100000,599061.28,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-01-01,5369684.4,3490294.86,1879389.54,1114572.14,764817.4,168259.83,596557.57,8054526.59,3490294.86,6980589.71,11544821.45,-6262.26,50000,100000,552819.83,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-02-01,5385426.75,3500527.38,1884899.36,1170300.75,714598.61,157211.69,557386.92,8078140.12,3500527.38,7001054.77,11578667.5,33846.05,50000,100000,473540.86,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-03-01,5465819.55,3552782.71,1913036.84,1228815.79,684221.06,150528.63,533692.42,8198729.33,3552782.71,7105565.42,11751512.03,172844.53,50000,100000,310847.89,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-04-01,5549281.92,3607033.25,1942248.67,1290256.58,651992.1,143438.26,508553.84,8323922.88,3607033.25,7214066.5,11930956.13,179444.1,50000,100000,279109.74,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-05-01,5614858.56,3649658.07,1965200.5,1354769.4,610431.09,134294.84,476136.25,8422287.84,3649658.07,7299316.13,12071945.91,140989.78,50000,100000,285146.47,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-06-01,5616961.56,3651025.02,1965936.55,1422507.88,543428.67,119554.31,423874.36,8425442.34,3651025.02,7302050.03,12076467.36,4521.45,50000,100000,369352.92,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-07-01,5618116.97,3651776.03,1966340.94,1493633.27,472707.67,103995.69,368711.98,8427175.45,3651776.03,7303552.06,12078951.48,2484.12,50000,100000,316227.86,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-08-01,5620243.34,3653158.17,1967085.17,1568314.93,398770.24,87729.45,311040.78,8430365.01,3653158.17,7306316.34,12083523.18,4571.7,50000,100000,256469.08,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-09-01,5623407.8,3655215.07,1968192.73,1646730.68,321462.05,70721.65,250740.4,8435111.7,3655215.07,7310430.14,12090326.78,6803.59,50000,100000,193936.81,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
2026-10-01,5625091.38,3656309.4,1968781.98,1729067.21,239714.77,52737.25,186977.52,8437637.07,3656309.4,7312618.8,12093946.47,3619.7,50000,100000,133357.83,27.0,optimistic,Optimistic growth - Market expansion with operational efficiency
