date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,5076258.51,3299568.03,1776690.48,984794.15,791896.33,174217.19,617679.14,7614387.77,3299568.03,6599136.07,10913955.8,0.0,50000,100000,567679.14,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2025-12-01,5071731.64,3296625.56,1775106.07,1034033.86,741072.21,163035.89,578036.33,7607597.46,3296625.56,6593251.13,10904223.02,-9732.78,50000,100000,537769.11,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-01-01,5068982.07,3294838.34,1774143.72,1085735.55,688408.17,151449.8,536958.37,7603473.1,3294838.34,6589676.69,10898311.45,-5911.57,50000,100000,492869.95,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-02-01,5083842.85,3304497.85,1779345.0,1140022.33,639322.67,140650.99,498671.68,7625764.27,3304497.85,6608995.7,10930262.12,31950.67,50000,100000,416721.01,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-03-01,5159733.66,3353826.88,1805906.78,1197023.45,608883.33,133954.33,474929.0,7739600.48,3353826.88,6707653.75,11093427.36,163165.24,50000,100000,261763.76,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-04-01,5238522.13,3405039.39,1833482.75,1256874.62,576608.13,126853.79,449754.34,7857783.2,3405039.39,6810078.77,11262822.59,169395.23,50000,100000,230359.11,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-05-01,5300426.48,3445277.21,1855149.27,1319718.35,535430.92,117794.8,417636.12,7950639.73,3445277.21,6890554.43,11395916.94,133094.35,50000,100000,234541.77,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-06-01,5302411.71,3446567.61,1855844.1,1385704.27,470139.83,103430.76,366709.07,7953617.57,3446567.61,6893135.23,11400185.19,4268.25,50000,100000,312440.82,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-07-01,5303502.42,3447276.57,1856225.85,1454989.48,401236.37,88272.0,312964.37,7955253.63,3447276.57,6894553.14,11402530.2,2345.01,50000,100000,260619.36,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-08-01,5305509.71,3448581.31,1856928.4,1527738.95,329189.45,72421.68,256767.77,7958264.57,3448581.31,6897162.63,11406845.88,4315.69,50000,100000,202452.08,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-09-01,5308496.97,3450523.03,1857973.94,1604125.9,253848.04,55846.57,198001.47,7962745.45,3450523.03,6901046.06,11413268.48,6422.59,50000,100000,141578.87,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
2026-10-01,5310086.26,3451556.07,1858530.19,1684332.2,174198.0,38323.56,135874.44,7965129.4,3451556.07,6903112.14,11416685.47,3416.99,50000,100000,82457.44,27.6,recovery,Post-crisis recovery - Strong rebound with stabilizing conditions
