date,sales,cogs,gross_profit,opex,ebit,tax,nopat,accounts_receivable,accounts_payable,inventory,working_capital,wc_change,depreciation,capex,free_cash_flow,usdtry_rate,scenario,scenario_description
2025-11-01,3441531.2,2236995.28,1204535.92,708955.43,495580.49,109027.71,386552.78,5162296.79,2236995.28,4473990.55,7399292.07,0.0,50000,100000,336552.78,37.5,stress,Severe stress test - Major market contraction and currency crisis
2025-12-01,3438462.13,2235000.38,1203461.74,744403.2,459058.55,100992.88,358065.67,5157693.19,2235000.38,4470000.76,7392693.57,-6598.5,50000,100000,314664.16,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-01-01,3436598.01,2233788.71,1202809.3,781623.36,421185.95,92660.91,328525.04,5154897.02,2233788.71,4467577.42,7388685.73,-4007.84,50000,100000,282532.88,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-02-01,3446673.12,2240337.53,1206335.59,820704.53,385631.07,84838.83,300792.23,5170009.68,2240337.53,4480675.05,7410347.2,21661.47,50000,100000,229130.76,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-03-01,3498124.51,2273780.93,1224343.58,861739.75,362603.83,79772.84,282830.99,5247186.77,2273780.93,4547561.87,7520967.7,110620.5,50000,100000,122210.49,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-04-01,3551540.43,2308501.28,1243039.15,904826.74,338212.41,74406.73,263805.68,5327310.64,2308501.28,4617002.56,7635811.92,114844.22,50000,100000,98961.46,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-05-01,3593509.48,2335781.16,1257728.32,950068.08,307660.24,67685.25,239974.99,5390264.22,2335781.16,4671562.32,7726045.38,90233.46,50000,100000,99741.53,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-06-01,3594855.4,2336656.01,1258199.39,997571.48,260627.91,57338.14,203289.77,5392283.1,2336656.01,4673312.02,7728939.11,2893.73,50000,100000,150396.04,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-07-01,3595594.86,2337136.66,1258458.2,1047450.05,211008.15,46421.79,164586.35,5393392.29,2337136.66,4674273.32,7730528.95,1589.84,50000,100000,112996.52,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-08-01,3596955.74,2338021.23,1258934.51,1099822.56,159111.95,35004.63,124107.32,5395433.61,2338021.23,4676042.46,7733454.84,2925.89,50000,100000,71181.43,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-09-01,3598980.99,2339337.65,1259643.35,1154813.68,104829.66,23062.53,81767.14,5398471.49,2339337.65,4678675.29,7737809.14,4354.3,50000,100000,27412.84,37.5,stress,Severe stress test - Major market contraction and currency crisis
2026-10-01,3600058.48,2340038.01,1260020.47,1212554.37,47466.1,10442.54,37023.56,5400087.73,2340038.01,4680076.03,7740125.74,2316.61,50000,100000,-15293.05,37.5,stress,Severe stress test - Major market contraction and currency crisis
